1,1,0
3533012425803781230144052908719740726127014226477800802100354883158534798213,31204614345391077396927242593886631629853981173214368409736920319215404093758,50237614328228664512531835696112167678046477356841409204013502641986506238568
26402750181698060370662605837227369816500226738882517770271529401842378589672,14536364753920307535593082581313058277178823516042719567948075655722022317151,56465797158513866373978332035777509370095804007883348063296109133608378741330
57380323863036192190697460598859260669437293011176252254720178407573830801183,6278509044461534850040729413882995999729689789829271611736377926540628463914,36138718964478346649856072938256589065409573641787003901057112337803111695179
45811644395853849704390239305739775610481015468619340172495835071193285784853,14931608858295102652976015651393727842260237676016930108681592522697191371006,4903261878018343802674235243046271348789391508768465806716633528478782514849
17602827444911538952130192892605603843757708997323500900546040368557708958184,4278790032528340089773288559026391033295859253792691039952776423042091082404,37666420653328197408027450316115517576920409410969219707820257614073148712771
5255983256195338231835031090416744572894849511818063947503999912986940040572,38109734236648002763767678282645805867438530207734570388031874261412659549779,35653154852028143612732993331720889554290850396147561720183988827054513520966
7809775707276245736534939045637423615354799915828671356480359524792683122087,10301121329964771489136358378145630714700243117878162946546622014174149002708,2157819527116812018635704655440590774854583748227484184515545410595371013446
3451681248724956125404306134506119402031398338084969228439151311589237174436,45103340189645008687377119205687495755236823628386648868825446224184048796894,28297658592470300655303560295180875926238688072306165652922367172486111322056
4961653808007627129084076755356194053815489335630646079683671704434537374521,13060088299865650611518874337661395805406996278073233363210086591800143781489,18800803138458377284264306516322821465157666265993303114538955881318277166002
25154668827067947740883521848659555902530670827803331503379013139354967885713,1417525093041302484216399385115367358460894990894870196342760323049734844411,43604099770348024892695151526519020745013718156621930261126231522975522785652
20073223366654667278217487655271684667820405122161623528121485120500687625432,34789391570090565918656068652442818344370026980563635433632826402287475491407,51358635212617465676875597931605459065979701395865935082183290659701395763807
22478366230212993661203704906983320049416469565950804364606660502131967110455,3363666070401713297493149287571511129137433136311673223604018584577784597691,290264773905503097677871459116066808912818767787952292768745933404022890369
34385730839135344355284003158385717951326299727473448588303656191133487813302,418856421603744445492367549467823788399920757772180157444838895979299367470,38742378182835510673636429459379703351696214147441093365494572640269422453026
45498663240222465844397792084930471105974912566102590625147922740686948178401,47290279423991909779094664619963625998202724106836147424590563312837953733833,5997173279876987053763947828392628538848201204631008304302831247931121405950
24740077059162430792740675912407462197618744545754016978210998488279330770649,17270080360753613685948319347945308230335893263577196523527504433045411888497,13222836490453008399532745405574674097823536359023155339820963392104463618643
19598377658861224783845010894811287771959579301160358177487377480285833498274,8602625848320914101981327737814350220059964367615824096981864165998591852103,30942559212363234812595554070815474796498884287982536881367675299020161195262
17472726035830446816094115497422552771654584893968641625669366928325941684040,33399453579685110478598742192585096935465040239002625100263273303326910003694,35336388391818003849592193344440500763331989931594398741262329158723582748189
22141892105764817020581830588040549831021139954925468943090837127275613645466,41417883521904051890579145514721948881926981308248998562581263267582597382520,17303494721309882144721804732129132095725336148388393198848075912652665914581
3241972879425743069830369437778815593333556002063779572131755074866466155487,35786920994567811284607395692823707172466126470992026896800805971629912057402,51393383539325544960684644124534310020454020459305763338631597057569652744157
